t,y,y1,y2
33.2863746,-31.1474609375,-10.2392578125,-11.9091796875
33.3258719,-30.4638671875,-10.9716796875,-13.5693359375
33.3463417,-30.6103515625,-12.2900390625,-14.3505859375
33.389654,-30.4638671875,-12.6806640625,-16.1572265625
33.4087386,-30.2197265625,-12.5830078125,-16.8408203125
33.45163,-30.3173828125,-7.2607421875,-14.3505859375
33.483415,-30.4150390625,-1.2548828125,-8.3935546875
33.4954556,-31.4892578125,1.4306640625,-0.2880859375
33.5358775,-31.7333984375,5.2392578125,7.5244140625
33.5565342,-32.8564453125,10.2197265625,13.9697265625
33.6084481,-33.4423828125,13.9306640625,18.8037109375
33.6294013,-34.3212890625,18.3251953125,22.3681640625
33.6485946,-35.0537109375,20.7177734375,23.6865234375
33.6816068,-36.8603515625,19.9853515625,22.1240234375
33.7091399,-36.7138671875,20.0830078125,19.6826171875
33.7602457,-38.2763671875,20.5224609375,17.9248046875
33.7705108,-39.4482421875,18.9111328125,16.4111328125
33.7998122,-40.2294921875,17.4951171875,14.6044921875
33.853354,-42.1337890625,17.2021484375,13.3837890625
33.8601201,-42.3779296875,15.8349609375,10.6982421875
33.8899066,-44.0380859375,13.3935546875,9.2822265625
33.9310775,-45.5029296875,12.1728515625,7.2314453125
33.9508748,-45.6982421875,9.8291015625,4.5947265625
33.9903034,-41.6455078125,8.3154296875,2.7392578125
34.0130334,-39.5947265625,7.5341796875,0.2978515625
34.0416295,-37.5439453125,5.4345703125,-1.6064453125
34.0693048,-36.1767578125,3.3837890625,-3.2666015625
34.1090979,-34.4677734375,2.0166015625,-5.2685546875
34.1323862,-33.0029296875,1.6748046875,-7.2216796875
34.1623776,-31.3427734375,-1.2548828125,-8.5400390625
34.1939783,-30.4638671875,-2.4755859375,-9.9560546875
34.2204839,-30.7080078125,-4.1845703125,-12.6904296875
34.254362,-31.0498046875,-4.9658203125,-14.3017578125
34.2818298,-30.3173828125,-3.7451171875,-15.6201171875
34.3114212,-30.6103515625,0.8935546875,-11.6162109375
34.3404152,-31.6845703125,6.0693359375,-3.9990234375
34.381148,-31.8798828125,9.8291015625,3.1787109375
34.4022367,-33.0517578125,14.2236328125,9.9169921875
34.4319597,-33.9794921875,18.8134765625,15.5810546875
34.4645539,-34.8095703125,22.4267578125,19.6337890625
34.491322,-35.5908203125,25.0146484375,23.4423828125
34.5255242,-36.8115234375,27.1142578125,23.6865234375
34.5515512,-37.8857421875,26.4306640625,21.4892578125
34.5870541,-39.1552734375,25.5517578125,18.9501953125
34.6140115,-39.9853515625,25.6005859375,16.8505859375
34.6415471,-41.2060546875,23.3056640625,14.7509765625
34.6962904,-42.2802734375,22.2314453125,12.5537109375
34.7020297,-43.7939453125,20.4736328125,10.4052734375
34.7332929,-44.7216796875,18.1298828125,8.2080078125
34.7812846,-46.1376953125,16.4697265625,5.5224609375
34.7947882,-47.0166015625,13.1982421875,3.4716796875
34.8430489,-45.5029296875,10.6591796875,1.2255859375
34.8550527,-42.6220703125,8.1689453125,-0.9716796875
34.8840567,-40.0830078125,5.6298828125,-4.0966796875
34.9141095,-38.0810546875,3.2373046875,-5.9033203125
34.9490439,-36.2255859375,0.6982421875,-7.5634765625
34.9932152,-34.1748046875,-1.8408203125,-9.6142578125
35.0153303,-33.0029296875,-3.6962890625,-11.9091796875
35.0369482,-30.6591796875,-5.5029296875,-12.6904296875
35.063759,-29.5361328125,-7.2607421875,-15.2294921875
35.1112018,-30.2197265625,-8.8232421875,-17.1826171875
35.1316153,-29.0966796875,-10.1904296875,-18.6474609375
35.168994,-29.6826171875,-8.6279296875,-19.0380859375
35.1896845,-29.5849609375,-3.5986328125,-16.0595703125
